frame,timestamp_ms,left_horizontal,left_vertical,right_horizontal,right_vertical
203,879.4434265291367,-6.018377910836479,-5.302828064054089,-78.62023496205958,-3.459182364586232
204,883.7971068584889,-5.974565847615845,-5.326682913461133,-78.61805599119644,-3.4726757032640716
205,888.150787187841,-5.967682784799975,-5.375258287672909,-78.61837616129736,-3.5126390420161573
206,892.5044675171932,-6.000901019834724,-5.3868745708406225,-78.6160061720918,-3.4652959630835567
207,896.8581478465454,-6.008833675269063,-5.391738757537921,-78.61013424473528,-3.3195376595697126
208,901.2118281758976,-6.134258229149557,-5.394043774016653,-78.61102323554182,-3.3368742258796096
209,905.5655085052498,-6.156867153702018,-5.431574958761916,-78.60859289958597,-3.41551434528186
210,909.919188834602,-6.0682125600105215,-5.418472240999575,-78.6139943206092,-3.4595780691429012
211,914.2728691639542,-6.028392659059086,-5.401158360072679,-78.62268512720898,-3.3808066131651997
212,918.6265494933064,-6.045270204327158,-5.402410655130134,-78.63375275873825,-3.4087273399839937
213,922.9802298226585,-6.183872248860225,-5.450320653834083,-78.64719119201867,-3.4677888640749996
214,927.3339101520107,-5.950999697247494,-5.409089474641968,-78.65711042130022,-3.4728339806110653
215,931.6875904813629,-5.761655185514079,-5.309890308615027,-78.66643740951255,-3.3287997366597253
216,936.0412708107151,-5.77983591997837,-5.3728442231734945,-78.68566366273515,-3.4706972319499565
217,940.3949511400673,-5.891975844706716,-5.4294517038143475,-78.7013462731314,-3.5708369416434684
218,944.7486314694195,-5.796964257426061,-5.4789904100844415,-78.71649798356381,-3.6082007802244958
219,949.1023117987717,-5.617310267484084,-5.451554598557822,-78.7238598862436,-3.6497938570025
220,953.4559921281239,-5.844102589625947,-5.503956260293086,-78.73993188803946,-3.6807241114799742
221,957.809672457476,-5.954332772982384,-5.501053361985066,-78.74192578858566,-3.669115628720618
222,962.1633527868282,-6.063269344334701,-5.517889777370636,-78.76461040183769,-3.692925546544844
223,966.5170331161804,-6.164740907280196,-5.51280992501309,-78.78095138735378,-3.6597811613946436
224,970.8707134455326,-6.232174074143107,-5.5649105550424105,-78.78827857113907,-3.6434058210643596
225,975.2243937748848,-6.321877081243793,-5.513499338647797,-78.7855423120041,-3.4908772497131837
226,979.578074104237,-6.377441902839096,-5.555695653546188,-78.77617469336884,-3.499463386746131
227,983.9317544335892,-6.219687752694162,-5.474962293716783,-78.77305173065913,-3.293452502118879
228,988.2854347629413,-6.2484415925399075,-5.429996129586006,-78.77445464226028,-3.2146741994981225
229,992.6391150922935,-6.32084598018239,-5.46151670169323,-78.768681219417,-3.199154617519856
230,996.9927954216457,-6.33394246688996,-5.531695650530631,-78.76937421916054,-3.2839324640482364
231,1001.3464757509979,-6.327195326673335,-5.595509934937484,-78.77281536920749,-3.3328369978361057
232,1005.7001560803501,-6.280050883403736,-5.576501330039027,-78.76791882217996,-3.242841824698764
233,1010.0538364097023,-6.04737076938376,-5.423825913275581,-78.75444250275301,-3.0054179657158624
234,1014.4075167390545,-6.188523652679026,-5.474309080540661,-78.75217949472763,-3.082841929617889
235,1018.7611970684067,-6.187944494019771,-5.464147802991766,-78.74690068599232,-3.132696223181253
236,1023.1148773977588,-6.145807303351285,-5.518270762790592,-78.73809633840939,-3.342751895628327
237,1027.468557727111,-6.22475473732061,-5.459339221076598,-78.74368141833553,-3.2942045971662886
238,1031.822238056463,-6.307821192017543,-5.4360573367291645,-78.75371898179836,-3.219286433325553
239,1036.175918385815,-6.459338227940595,-5.384242795566057,-78.75553138714153,-3.0662887919836814
240,1040.5295987151671,-6.353748735569921,-5.409325408505759,-78.73885364993117,-3.1210745358917444
241,1044.8832790445192,-6.301634188239448,-5.372426751432239,-78.73893543356026,-3.0080715535305043
242,1049.2369593738713,-6.2549012721637,-5.340188948218345,-78.73778581162267,-2.925051760560401
243,1053.5906397032234,-6.391711006158162,-5.332237886813446,-78.74048607157805,-2.9037799071780936
244,1057.9443200325754,-6.342932350111052,-5.364476528264677,-78.729691008414,-2.940757555558354
245,1062.2980003619275,-6.1847229008106375,-5.26956617249691,-78.72339824176383,-2.7251365993886507
246,1066.6516806912796,-6.1062704678293285,-5.203594711628415,-78.72049540486667,-2.58199335341519
247,1071.0053610206317,-6.038895976055335,-5.224896679480234,-78.71562365005117,-2.6044458775315755
248,1075.3590413499837,-6.0226337712190965,-5.2360646520081975,-78.71475222464173,-2.6683905371133156
249,1079.7127216793358,-6.218927696574089,-5.23559251815123,-78.72595807610692,-2.616414945909637
250,1084.0664020086879,-6.3255673039804075,-5.276828898974272,-78.72876407292335,-2.6316930106412273
251,1088.42008233804,-6.296604877609068,-5.301484585348579,-78.72525522281367,-2.754022735343572
252,1092.773762667392,-6.304999068255122,-5.315463739580865,-78.72414535823874,-2.83037203281467
253,1097.127442996744,-6.364166763876578,-5.315917597596706,-78.72426379455977,-2.888568257798576
254,1101.4811233260962,-6.346061551804622,-5.337992442730652,-78.72221662641007,-2.9230513691579043
255,1105.8348036554482,-6.3194530827475,-5.351951783937478,-78.72029332101857,-2.9201398956604954
256,1110.1884839848003,-6.263893893624554,-5.355110246141636,-78.71671996695804,-2.9616715210790425
257,1114.5421643141524,-6.253272796545919,-5.386384517861339,-78.72137962756919,-3.1079676568188774
258,1118.8958446435045,-5.74372708001203,-5.384152044288027,-78.6986442271859,-3.1319042935577643
259,1123.2495249728565,-5.437218751714537,-5.38487805375357,-78.68167854677232,-3.204895334106625
260,1127.6032053022086,-4.919832771849646,-5.40992431671826,-78.65977374949017,-3.2785489109932056
261,1131.9568856315607,-4.353799040479282,-5.4327000963443215,-78.64130938345983,-3.3977056726060173
262,1136.3105659609128,-3.546153356335861,-5.455746343479785,-78.6103929025278,-3.4244382207506767
263,1140.6642462902648,-2.4545251489645485,-5.465200237039523,-78.56203542102881,-3.44926985774046
264,1145.017926619617,-1.2755320146821614,-5.48191166770073,-78.51080415074338,-3.4986720442885937
265,1149.371606948969,-0.6090902575539998,-5.51966770514227,-78.48469548995838,-3.5794018181715535
266,1153.725287278321,-0.4388810641213811,-5.526670459766481,-78.48134548296404,-3.592693872729513
267,1158.0789676076731,0.0659396246968903,-5.5304076133778555,-78.45934068027815,-3.592496077133237
268,1162.4326479370252,0.21059942880973215,-5.540875020423995,-78.44928572514051,-3.607785423519568
269,1166.7863282663773,0.4074785829900104,-5.551305776216656,-78.45391124091924,-3.6642308788008355
270,1171.1400085957293,0.4908273211193457,-5.544648275522858,-78.4317708832182,-3.637294581048156
271,1175.4936889250814,0.8819029733001031,-5.544412448492251,-78.41496922708585,-3.6237862712529227
272,1179.8473692544335,1.0139291934621946,-5.552049520365748,-78.4165546834965,-3.649853188180017
273,1184.2010495837856,0.7357332966295411,-5.5599403487419945,-78.44186549295611,-3.6775204377408577
274,1188.5547299131376,1.363764838927147,-5.554933778700751,-78.42305698016945,-3.6704999610931868
275,1192.9084102424897,1.0638481916222742,-5.549546178928845,-78.42500802416285,-3.660077810597668
276,1197.2620905718418,1.3010453198218466,-5.558851971193068,-78.42357838822495,-3.6859053128154806
277,1201.6157709011939,1.0086754346708935,-5.555296576491978,-78.44138875994517,-3.696663034152349
278,1205.969451230546,0.6693275363580892,-5.545682284124622,-78.46272079909252,-3.6809811954109986
279,1210.323131559898,0.7544627767842114,-5.540784316582894,-78.4423039255283,-3.6808427656204277
280,1214.67681188925,0.9002466425807297,-5.543813809799008,-78.4374155394775,-3.6857866600248346
281,1219.0304922186021,1.1655848741809647,-5.54029451535956,-78.44408760919788,-3.7144008388947314
282,1223.3841725479542,1.6244158431033344,-5.536339794250451,-78.41833020675703,-3.708310346233497
283,1227.7378528773063,1.8381899763246132,-5.52570895144931,-78.40969089809136,-3.718751139339183
284,1232.0915332066584,1.472724593284935,-5.53399959032158,-78.4314610360558,-3.7499929416886806
285,1236.4452135360104,1.5075660798362573,-5.534797801495354,-78.43467211081243,-3.7754197484934413
286,1240.7988938653625,0.9754317489956239,-5.5342172844917785,-78.44583251127936,-3.767590190151203
287,1245.1525741947146,0.9105534338968843,-5.536865884055817,-78.4438820111609,-3.770081428559057
288,1249.5062545240667,0.9885755326650869,-5.545228772026075,-78.44317272223562,-3.7783261395321417
289,1253.8599348534187,1.3837128845060478,-5.562352904624241,-78.44765812619511,-3.8169377668477913
290,1258.2136151827708,0.8354022516921311,-5.557183117802119,-78.45267802129854,-3.808891491729963
291,1262.5672955121229,0.4812694143600913,-5.554933778700751,-78.46191527812033,-3.8100776842570214
292,1266.920975841475,0.5647261894884842,-5.569336507453599,-78.46175956304508,-3.827889948120074
293,1271.274656170827,0.7979262600413144,-5.573599144490552,-78.45995900500948,-3.837438281930221
294,1275.628336500179,0.6964979177651803,-5.566905869707806,-78.45721339838485,-3.846551502892873
295,1279.9820168295312,0.6999216567925092,-5.53282041078112,-78.45642143222436,-3.869145914025898
296,1284.3356971588832,1.146566987255025,-5.535196906274084,-78.4209308831774,-3.9197466866226907
