frame,time_s,arrow_right_pct,arrow_left_pct,bullseye_pct
388,6.4667,90.1,10.1,
389,6.4833,90.1,10.0,
390,6.5,90.1,90.16,
391,6.5167,90.1,90.1,
392,6.5333,90.1,90.0,
393,6.55,90.1,89.58,
394,6.5667,90.1,88.85,
395,6.5833,90.1,87.71,
396,6.6,90.1,86.04,
397,6.6167,90.1,83.75,
398,6.6333,90.1,81.09,
399,6.65,90.1,77.81,
400,6.6667,90.1,73.96,
401,6.6833,90.1,69.58,
402,6.7,90.1,64.97,
403,6.7167,90.1,59.95,
404,6.7333,90.1,54.58,
405,6.75,90.1,49.38,
406,6.7667,90.1,44.06,
407,6.7833,90.1,38.85,
408,6.8,90.1,33.96,
409,6.8167,90.1,29.38,
410,6.8333,90.1,25.21,
411,6.85,90.1,21.46,
412,6.8667,90.1,18.33,
413,6.8833,90.1,15.73,
414,6.9,90.1,15.73,
415,6.9167,90.1,12.19,
416,6.9333,90.1,11.04,
417,6.95,90.1,10.47,
418,6.9667,90.1,10.16,
419,6.9833,90.1,10.0,
420,7.0,90.1,10.0,
421,7.0167,90.1,10.0,
422,7.0333,90.1,10.0,
423,7.05,90.1,10.0,
424,7.0667,90.1,10.0,
425,7.0833,90.1,10.0,
426,7.1,90.1,10.0,
427,7.1167,90.1,10.0,
428,7.1333,90.1,10.0,
429,7.15,90.1,10.0,
430,7.1667,90.1,10.0,
431,7.1833,90.1,10.0,
432,7.2,90.1,10.0,
433,7.2167,90.1,10.0,
434,7.2333,90.1,10.0,
435,7.25,90.1,10.0,
436,7.2667,90.1,10.0,
437,7.2833,90.1,10.0,
438,7.3,90.1,10.0,
439,7.3167,90.1,10.0,
440,7.3333,90.1,10.0,
441,7.35,90.1,10.0,
442,7.3667,90.1,10.0,
443,7.3833,90.1,10.0,
444,7.4,90.1,10.0,
445,7.4167,90.1,10.0,
446,7.4333,90.1,10.0,
447,7.45,90.1,10.0,
448,7.4667,90.1,10.0,
449,7.4833,90.1,10.0,
450,7.5,90.1,10.0,
451,7.5167,,,14.77
452,7.5333,,,14.77
453,7.55,,,14.77
454,7.5667,,,14.77
455,7.5833,,,14.77
456,7.6,,,14.77
457,7.6167,,,14.77
458,7.6333,,,14.77
459,7.65,,,14.77
460,7.6667,,,14.77
461,7.6833,,,14.77
462,7.7,,,14.77
463,7.7167,,,14.77
464,7.7333,,,14.77
465,7.75,,,14.77
466,7.7667,,,14.77
467,7.7833,,,14.77
468,7.8,,,14.77
469,7.8167,,,14.77
470,7.8333,,,14.77
471,7.85,,,14.77
472,7.8667,,,14.77
473,7.8833,,,14.77
474,7.9,,,14.77
475,7.9167,,,14.77
476,7.9333,,,14.77
477,7.95,,,14.77
478,7.9667,,,14.77
479,7.9833,,,14.77
480,8.0,,,14.77
481,8.0167,,,14.77
482,8.0333,,,14.77
483,8.05,,,14.77
484,8.0667,,,14.77
485,8.0833,,,14.77
486,8.1,,,14.77
487,8.1167,,,14.77
488,8.1333,,,14.77
489,8.15,,,14.77
490,8.1667,,,8.05
491,8.1833,,,8.05
492,8.2,,,8.05
493,8.2167,,,8.1
494,8.2333,,,8.2
495,8.25,,,8.36
496,8.2667,,,8.65
497,8.2833,,,9.09
498,8.3,,,9.69
499,8.3167,,,10.52
500,8.3333,,,11.54
501,8.35,,,12.81
502,8.3667,,,14.3
503,8.3833,,,16.12
504,8.4,,,18.2
505,8.4167,,,20.52
506,8.4333,,,23.2
507,8.45,,,26.12
508,8.4667,,,29.38
509,8.4833,,,32.81
510,8.5,,,36.67
511,8.5167,,,40.7
512,8.5333,,,45.08
513,8.55,,,49.56
514,8.5667,,,54.37
515,8.5833,,,59.45
516,8.6,,,64.66
517,8.6167,,,70.18
518,8.6333,,,75.31
519,8.65,,,80.81
520,8.6667,,,86.54
521,8.6833,,,91.95
522,8.7,,,86.95
523,8.7167,,,81.3
524,8.7333,,,75.73
525,8.75,,,70.21
526,8.7667,,,64.92
527,8.7833,,,64.92
528,8.8,,,54.69
529,8.8167,,,49.48
530,8.8333,,,45.18
531,8.85,,,40.91
532,8.8667,,,36.72
533,8.8833,,,32.89
534,8.9,,,29.35
535,8.9167,,,26.04
536,8.9333,,,23.02
537,8.95,,,20.34
538,8.9667,,,17.92
539,8.9833,,,15.73
540,9.0,,,13.88
541,9.0167,,,12.4
542,9.0333,,,11.07
543,9.05,,,10.03
544,9.0667,,,9.14
545,9.0833,,,8.54
546,9.1,,,8.05
547,9.1167,,,8.05
548,9.1333,,,8.05
549,9.15,,,8.05
550,9.1667,,,8.05
551,9.1833,,,8.05
552,9.2,,,8.05
553,9.2167,,,8.1
554,9.2333,,,8.2
555,9.25,,,8.36
556,9.2667,,,8.65
557,9.2833,,,9.09
558,9.3,,,9.77
559,9.3167,,,10.52
560,9.3333,,,11.54
561,9.35,,,12.81
562,9.3667,,,14.3
563,9.3833,,,16.12
564,9.4,,,18.15
565,9.4167,,,20.6
566,9.4333,,,23.12
567,9.45,,,26.22
568,9.4667,,,29.48
569,9.4833,,,32.89
570,9.5,,,36.64
571,9.5167,,,40.68
572,9.5333,,,45.08
573,9.55,,,49.66
574,9.5667,,,54.37
575,9.5833,,,59.4
576,9.6,,,64.51
577,9.6167,,,69.87
578,9.6333,,,75.31
579,9.65,,,80.83
580,9.6667,,,86.43
581,9.6833,,,91.95
582,9.7,,,86.59
583,9.7167,,,81.02
584,9.7333,,,75.73
585,9.75,,,70.18
586,9.7667,,,64.97
587,9.7833,,,59.45
588,9.8,,,54.53
589,9.8167,,,49.9
590,9.8333,,,45.29
591,9.85,,,40.91
592,9.8667,,,36.74
593,9.8833,,,32.92
594,9.9,,,29.04
595,9.9167,,,26.04
596,9.9333,,,23.02
597,9.95,,,20.31
598,9.9667,,,17.92
599,9.9833,,,15.7
600,10.0,,,13.98
601,10.0167,,,12.4
602,10.0333,,,11.07
603,10.05,,,10.0
604,10.0667,,,9.17
605,10.0833,,,8.54
606,10.1,,,8.05
607,10.1167,,,8.05
608,10.1333,,,8.05
609,10.15,,,8.05
610,10.1667,,,8.05
611,10.1833,,,8.05
612,10.2,,,8.05
613,10.2167,,,8.1
614,10.2333,,,8.2
615,10.25,,,8.36
616,10.2667,,,8.67
617,10.2833,,,9.09
618,10.3,,,9.71
619,10.3167,,,10.52
620,10.3333,,,11.54
621,10.35,,,12.81
622,10.3667,,,14.3
623,10.3833,,,16.15
624,10.4,,,18.12
625,10.4167,,,20.52
626,10.4333,,,23.23
627,10.45,,,26.12
628,10.4667,,,29.35
629,10.4833,,,32.81
630,10.5,,,36.67
631,10.5167,,,40.73
632,10.5333,,,45.05
633,10.55,,,49.56
634,10.5667,,,54.4
635,10.5833,,,59.35
636,10.6,,,64.51
637,10.6167,,,69.87
638,10.6333,,,75.39
639,10.65,,,80.91
640,10.6667,,,86.43
641,10.6833,,,91.95
642,10.7,,,86.77
643,10.7167,,,81.33
644,10.7333,,,75.73
645,10.75,,,70.1
646,10.7667,,,64.58
647,10.7833,,,59.69
648,10.8,,,54.69
649,10.8167,,,49.66
650,10.8333,,,45.29
651,10.85,,,40.91
652,10.8667,,,36.77
653,10.8833,,,32.89
654,10.9,,,29.35
655,10.9167,,,26.04
656,10.9333,,,22.89
657,10.95,,,20.31
